team,net_rating,pace,ato,efg_pct,ortg,drtg,seed,region,is_qualified,logo
Abilene Christian,-3.0,69.3,0.930,.489,101.1,104.1,,,0,
Air Force,-27.2,67.4,0.824,.489,91.3,118.5,,,0,
Akron,+20.7,71.8,1.688,.588,123.1,102.4,13,South,1,
Alabama,+11.0,74.6,1.643,.554,122.0,111.1,2,South,1,
Alabama A&M,-0.7,67.7,1.026,.496,105.9,106.6,,,0,
Alabama State,-5.7,71.9,0.947,.478,101.7,107.4,,,0,
Albany (NY),-1.4,66.6,1.139,.530,108.1,109.4,,,0,
Alcorn State,-19.1,69.6,0.816,.477,96.0,115.1,,,0,
American,+4.8,67.5,1.264,.526,110.6,105.8,,,0,
Appalachian State,+9.2,64.7,1.222,.510,110.9,101.7,,,0,
Arizona,+24.2,71.3,1.565,.551,120.3,96.1,1,West,1,
Arizona State,-2.8,70.6,1.132,.511,108.1,111.0,,,0,
Arkansas,+13.4,72.4,1.889,.565,122.5,109.1,4,South,1,
Arkansas State,+7.8,72.5,1.105,.526,113.1,105.3,,,0,
Arkansas-Pine Bluff,-5.2,72.4,1.157,.515,106.4,111.6,,,0,
Army,-7.3,67.6,1.261,.498,104.8,112.1,,,0,
Auburn,+4.8,69.2,1.245,.523,118.6,113.8,4,Midwest,1,
Austin Peay,+11.9,71.0,1.500,.538,115.0,103.1,,,0,
BYU,+12.1,70.5,1.239,.547,118.7,106.5,,,0,
Ball State,-3.0,65.9,1.198,.482,101.7,104.7,,,0,
Baylor,+7.7,70.0,1.374,.546,117.9,110.2,3,South,1,
Bellarmine,-2.5,66.4,1.466,.599,119.6,122.1,,,0,
Belmont,+14.9,70.2,1.476,.607,118.6,103.7,,,0,
Bethune-Cookman,-2.2,71.2,0.993,.516,104.7,106.9,,,0,
Binghamton,-10.5,65.1,0.943,.511,102.3,112.8,,,0,
Boise State,+6.9,67.1,1.111,.526,113.9,107.1,7,West,1,
Boston College,-4.8,66.4,1.087,.470,100.0,104.8,,,0,
Boston University,+2.3,63.7,1.233,.581,115.4,113.1,,,0,
Bowling Green,+13.5,71.9,1.235,.535,112.6,99.1,,,0,
Bradley,+6.0,67.9,1.381,.511,110.5,104.6,,,0,
Brown,+0.4,67.3,1.209,.503,102.7,102.3,,,0,
Bryant,-11.6,65.0,0.924,.479,98.6,110.2,,,0,
Bucknell,-13.2,66.9,0.992,.485,99.5,112.8,,,0,
Buffalo,+2.7,67.4,1.330,.560,114.9,112.2,,,0,
Butler,+2.6,70.0,1.372,.509,111.7,109.1,,,0,
Cal Poly,-3.8,76.3,0.901,.519,107.2,111.0,,,0,
Cal State Bakersfield,-12.4,73.0,0.816,.462,100.2,112.6,,,0,
Cal State Fullerton,+1.7,76.3,1.400,.525,108.8,107.1,,,0,
Cal State Northridge,+2.1,75.6,1.290,.509,107.3,105.2,,,0,
California,+6.6,69.4,1.330,.520,111.3,104.7,,,0,
California Baptist,+8.0,67.4,0.831,.486,107.1,99.1,13,East,1,
Campbell,+2.2,70.8,1.008,.515,111.8,109.7,,,0,
Canisius,-11.6,64.5,0.945,.467,97.1,108.8,,,0,
Central Arkansas,+8.6,69.7,1.495,.543,113.9,105.2,,,0,
Central Connecticut,+4.4,66.0,1.302,.536,111.4,107.0,,,0,
Central Michigan,-5.1,69.3,1.198,.523,105.9,111.0,,,0,
